id,name,description,category,muscle_groups,equipment_needed,difficulty,instructions,video_url,image_url,is_compound,is_custom,created_by,created_at,exercisedb_id,gif_url,tips,last_synced_at,sync_status
3333bd41-50b7-593b-a8ac-8419281c1086,Stability Ball Dead Bug,Postural · Anti-Extension · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis"",""Obliques"",""Rectus Femoris""}","{""Stability Ball""}",beginner,{},https://youtu.be/5jDEulwWs04,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Postural"",""Mechanics: Compound"",""Movement: Anti-Extension"",""Posture: Supine"",""Grip: Neutral"",""Load position: Other"",""Laterality: Contralateral"",""Force type: Other"",""In-depth video: https://youtu.be/Sa4ZWmnSC5o""}",,pending
cf290ed3-7e3c-51ba-a361-91d4a2d199b3,Bodyweight Glute Bridge,Bodybuilding · Hip Extension · Glutes · Lower Body,legs,"{""Glutes"",""Gluteus Maximus"",""Biceps Femoris"",""Erector Spinae""}","{""Bodyweight""}",beginner,{},https://youtu.be/ncpMkhXAykg?si=a_b3ot2rsThtz4DE,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Bodybuilding"",""Mechanics: Compound"",""Movement: Hip Extension"",""Posture: Bridge"",""Grip: No Grip"",""Load position: No Load"",""Laterality: Bilateral"",""Force type: Unsorted*"",""In-depth video: https://youtu.be/wPM8icPu6H8""}",,pending
2daf015c-0838-59cb-ba54-4be6d842ab52,Bodyweight Bird Dog,Postural · Anti-Rotational · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis"",""Gluteus Maximus"",""Erector Spinae""}","{""Bodyweight""}",beginner,{},https://youtu.be/tU-WZsouVjo?si=Ti1JUU03OqgnmtX6,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Postural"",""Mechanics: Compound"",""Movement: Anti-Rotational"",""Posture: Quadruped"",""Grip: Flat Palm"",""Load position: No Load"",""Laterality: Contralateral"",""Force type: Other"",""In-depth video: https://youtu.be/-LRjkbEy-qU""}",,pending
d9a3eabe-13ce-55d2-9192-e813e9816623,Stability Ball Russian Twist,Unsorted* · Rotational · Abdominals · Core,core,"{""Abdominals"",""Obliques"",""Rectus Abdominis"",""Iliopsoas""}","{""Stability Ball""}",beginner,{},https://youtu.be/2rbbUJR-Nx4?si=aAPlfM1RYBeErvZk,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Unsorted*"",""Mechanics: Compound"",""Movement: Rotational"",""Posture: Seated Floor"",""Grip: Neutral"",""Load position: Other"",""Laterality: Bilateral"",""Force type: Other"",""In-depth video: https://youtu.be/fh-sDpg1P48""}",,pending
120ab1c6-7bbd-526d-8484-5608637bb562,Stability Ball Feet Elevated Crunch,Unsorted* · Spinal Flexion · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis"",""Iliopsoas"",""Obliques""}","{""Stability Ball""}",beginner,{},https://youtu.be/ByXVlY2L3nw,,false,false,,2026-01-28 16:16:45+00,,,"{""Classification: Unsorted*"",""Mechanics: Isolation"",""Movement: Spinal Flexion"",""Posture: Supine"",""Grip: Head Supported"",""Load position: No Load"",""Laterality: Bilateral"",""Force type: Other"",""In-depth video: https://youtu.be/meo3bhh8NPk""}",,pending
4f1e46ea-2601-5f61-b3e4-622ecad60843,Ring Hanging Knee Raise,Calisthenics · Spinal Flexion · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis"",""Iliopsoas"",""Rectus Femoris""}","{""Gymnastic Rings""}",intermediate,{},https://youtu.be/RPBH_Dw5hUo?si=SqKs_FnqsPMuLdq0,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Calisthenics"",""Mechanics: Compound"",""Movement: Spinal Flexion"",""Posture: Hanging"",""Grip: Pronated"",""Load position: No Load"",""Laterality: Bilateral"",""Force type: Other""}",,pending
a0ad11e3-15e5-5c09-a14a-0d9918665852,Parallette Mountain Climber,Calisthenics · Anti-Extension · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis"",""Iliopsoas"",""Anterior Deltoids""}","{""Parallette Bars""}",beginner,{},https://youtu.be/W0RoAqlFzrA,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Calisthenics"",""Mechanics: Compound"",""Movement: Anti-Extension"",""Movement: Spinal Flexion"",""Posture: Prone"",""Grip: Neutral"",""Load position: No Load"",""Laterality: Unilateral"",""Force type: Other""}",,pending
f1e732c1-c280-5a26-bdf2-b0e8f37490dc,Parallette Push Up,Calisthenics · Horizontal Push · Chest · Upper Body,chest,"{""Chest"",""Pectoralis Major"",""Triceps Brachii""}","{""Parallette Bars""}",beginner,{},https://youtu.be/Kbhl_O1N4aw,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Calisthenics"",""Mechanics: Compound"",""Movement: Horizontal Push"",""Posture: Prone"",""Grip: Neutral"",""Load position: No Load"",""Laterality: Bilateral"",""Force type: Push"",""In-depth video: https://youtu.be/Jrh9F8L2NJ4""}",,pending
4bef64d0-5952-5f87-b568-af5d44bb222e,Bodyweight Knee Hover Bird Dog,Postural · Anti-Rotational · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis"",""Gluteus Maximus"",""Erector Spinae""}","{""Bodyweight""}",intermediate,{},https://youtu.be/fGaqVUHB1aA,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Postural"",""Mechanics: Compound"",""Movement: Anti-Rotational"",""Posture: Knee Hover Quadruped"",""Grip: Flat Palm"",""Load position: No Load"",""Laterality: Contralateral"",""Force type: Other""}",,pending
3d310937-d4dc-5c74-9740-a52a0fd21404,Stability Ball V Up Pass,Unsorted* · Hip Flexion · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis"",""Iliopsoas"",""Obliques""}","{""Stability Ball""}",beginner,{},https://youtu.be/n4UPDi5BuL0,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Unsorted*"",""Mechanics: Compound"",""Movement: Hip Flexion"",""Posture: Supine"",""Grip: Neutral"",""Load position: Other"",""Laterality: Bilateral"",""Force type: Other"",""In-depth video: https://youtu.be/Lrmlsxk3zx4""}",,pending
3c5f7820-3b37-5849-8e94-2267d3f21336,Bodyweight Dead Bug,Postural · Anti-Extension · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis"",""Obliques"",""Rectus Femoris""}","{""Bodyweight""}",beginner,{},https://youtu.be/jbWmbhElf3Q,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Postural"",""Mechanics: Compound"",""Movement: Anti-Extension"",""Posture: Supine"",""Grip: No Grip"",""Load position: No Load"",""Laterality: Contralateral"",""Force type: Other"",""In-depth video: https://youtu.be/g_BYB0R-4Ws""}",,pending
d0949ff5-0d91-55a9-8648-9919cbde2e18,Bodyweight Alternating Heel Taps,Unsorted* · Lateral Flexion · Abdominals · Core,core,"{""Abdominals"",""Obliques"",""Rectus Abdominis""}","{""Bodyweight""}",beginner,{},https://youtu.be/URWXz0DmE7s,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Unsorted*"",""Mechanics: Compound"",""Movement: Lateral Flexion"",""Posture: Supine"",""Grip: No Grip"",""Load position: No Load"",""Laterality: Unilateral"",""Force type: Other"",""In-depth video: https://youtu.be/IVppNiu0hvw""}",,pending
40f7b51b-4987-58b0-92d1-172dd4789cd8,Bodyweight Flutter Kicks,Unsorted* · Hip Flexion · Hip Flexors · Core,core,"{""Hip Flexors"",""Iliopsoas"",""Rectus Abdominis""}","{""Bodyweight""}",beginner,{},https://youtu.be/e_s7uBNPnow,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Unsorted*"",""Mechanics: Compound"",""Movement: Hip Flexion"",""Posture: Supine"",""Grip: No Grip"",""Load position: No Load"",""Laterality: Unilateral"",""Force type: Other"",""In-depth video: https://youtu.be/DNx0PYv7_L8""}",,pending
9d036e9c-08d2-5630-a264-76e85c6d9516,Bodyweight Kneeling Forearm Plank,Calisthenics · Anti-Extension · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis""}","{""Bodyweight""}",beginner,{},https://youtu.be/Ns1NS9ThNhI,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Calisthenics"",""Mechanics: Compound"",""Movement: Anti-Extension"",""Posture: Prone"",""Grip: Forearm"",""Load position: No Load"",""Laterality: Bilateral"",""Force type: Other"",""In-depth video: https://youtu.be/5HyOjaj7atU""}",,pending
2311891a-df2b-53e9-9964-528135ea017d,Bodyweight Seated Ab Circles,Unsorted* · Rotational · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis""}","{""Bodyweight""}",beginner,{},https://youtu.be/GflQ_ymx9Nw,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Unsorted*"",""Mechanics: Compound"",""Movement: Rotational"",""Posture: Seated Floor"",""Grip: Flat Palm"",""Load position: No Load"",""Laterality: Bilateral"",""Force type: Other""}",,pending
4021a38c-6a76-56e8-8de9-dc010903c40d,Ring Hanging Oblique Knee Raise,Calisthenics · Rotational · Abdominals · Core,core,"{""Abdominals"",""Obliques"",""Rectus Abdominis""}","{""Gymnastic Rings""}",intermediate,{},,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Calisthenics"",""Mechanics: Compound"",""Movement: Rotational"",""Posture: Hanging"",""Grip: Pronated"",""Load position: No Load"",""Laterality: Bilateral"",""Force type: Other""}",,pending
80c9b91b-80a5-56a1-b9b7-408ea2db39c7,Stability Ball Stir the Pot,Unsorted* · Anti-Extension · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis""}","{""Stability Ball""}",beginner,{},https://youtu.be/IfOtFv6zz8I,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Unsorted*"",""Mechanics: Compound"",""Movement: Anti-Extension"",""Movement: Spinal Rotational"",""Posture: Prone"",""Grip: Forearm"",""Load position: No Load"",""Laterality: Bilateral"",""Force type: Other"",""In-depth video: https://youtu.be/FpH1C25VyXE?si=hAzBuHZIBIX0MG4j""}",,pending
32ecdd09-3606-5c60-8898-6040e7d45179,Bodyweight Alternating Lateral Kick Through,Animal Flow · Rotational · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis""}","{""Bodyweight""}",intermediate,{},https://youtu.be/1jCudOtlLsc,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Animal Flow"",""Mechanics: Compound"",""Movement: Rotational"",""Posture: Knee Hover Quadruped"",""Grip: Flat Palm"",""Load position: No Load"",""Laterality: Unilateral"",""Force type: Other"",""In-depth video: https://youtu.be/86NNY5U6jqk""}",,pending
13b8f487-1e86-50e8-ad30-b4aec3b0de96,Ring Hanging L Sit Flutter Kicks,Calisthenics · Hip Flexion · Hip Flexors · Core,core,"{""Hip Flexors"",""Iliopsoas"",""Rectus Abdominis""}","{""Gymnastic Rings""}",intermediate,{},https://youtu.be/Y7Ua1YRsqd0,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Calisthenics"",""Mechanics: Compound"",""Movement: Hip Flexion"",""Movement: Isometric Hold"",""Posture: Hanging"",""Grip: Pronated"",""Load position: No Load"",""Laterality: Unilateral"",""Force type: Other""}",,pending
04bbc0db-1791-51ca-925c-9f0ededb0643,Slam Ball Russian Twist,Unsorted* · Rotational · Abdominals · Core,core,"{""Abdominals"",""Obliques"",""Rectus Abdominis"",""Iliopsoas""}","{""Slam Ball""}",beginner,{},https://youtu.be/qyZ0pAtgo_Y,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Unsorted*"",""Mechanics: Compound"",""Movement: Rotational"",""Posture: Seated Floor"",""Grip: Neutral"",""Load position: Other"",""Laterality: Bilateral"",""Force type: Other""}",,pending
53a004bf-ac17-5d5b-97f4-baf61d9fb8cb,Dumbbell Crush Grip Otis Up,Unsorted* · Spinal Flexion · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis"",""Obliques""}","{""Dumbbell""}",beginner,{},,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Unsorted*"",""Mechanics: Compound"",""Movement: Spinal Flexion"",""Posture: Supine"",""Grip: Crush Grip"",""Load position: Overhead"",""Laterality: Bilateral"",""Force type: Other""}",,pending
3a73231c-cb99-53ad-bf96-421c85b9f771,Single Arm Dumbbell Side Plank Reach Through,Unsorted* · Anti-Lateral Flexion · Abdominals · Core,core,"{""Abdominals"",""Obliques"",""Rectus Abdominis""}","{""Dumbbell""}",advanced,{},https://youtu.be/Ec9Ymqhe5i4,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Unsorted*"",""Mechanics: Compound"",""Movement: Anti-Lateral Flexion"",""Movement: Spinal Rotational"",""Posture: Side Plank"",""Grip: Neutral"",""Load position: Other"",""Laterality: Unilateral"",""Force type: Other""}",,pending
4b51e461-bc67-56ce-93ce-4d5e242e4b49,Ab Wheel Kneeling Rollout,Unsorted* · Anti-Extension · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis"",""Latissimus Dorsi"",""Serratus Anterior""}","{""Ab Wheel""}",beginner,{},https://youtu.be/QB2Gj1QGfjQ,,true,false,,2026-01-28 16:16:45+00,,,"{""Classification: Unsorted*"",""Mechanics: Compound"",""Movement: Anti-Extension"",""Posture: Kneeling"",""Grip: Pronated"",""Load position: No Load"",""Laterality: Bilateral"",""Force type: Other"",""In-depth video: https://youtu.be/A3uK5TPzHq8""}",,pending
5e3ccfb3-1198-5cd3-9961-679a59e8a249,Cable Seated Crunch,Unsorted* · Spinal Flexion · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis"",""Iliopsoas"",""Obliques""}","{""Cable"",""Bench (Flat)""}",beginner,{},https://youtu.be/gQT76pz_X9Y,,false,false,,2026-01-28 16:16:45+00,,,"{""Classification: Unsorted*"",""Mechanics: Isolation"",""Movement: Spinal Flexion"",""Posture: Seated"",""Grip: Neutral"",""Load position: Other"",""Laterality: Bilateral"",""Force type: Other"",""In-depth video: https://youtu.be/vg1KU7HNbyw""}",,pending
0ea4e5ee-93dd-5b22-849b-ae53882779c1,Cable Kneeling Crunch,Unsorted* · Spinal Flexion · Abdominals · Core,core,"{""Abdominals"",""Rectus Abdominis"",""Iliopsoas"",""Obliques""}","{""Cable""}",beginner,{},https://youtu.be/ToJeyhydUxU,,false,false,,2026-01-28 16:16:45+00,,,"{""Classification: Unsorted*"",""Mechanics: Isolation"",""Movement: Spinal Flexion"",""Posture: Kneeling"",""Grip: Neutral"",""Load position: Other"",""Laterality: Bilateral"",""Force type: Other"",""In-depth video: https://youtu.be/vsAPBAg0fb0""}",,pending
